raw_stop_name,normalized_stop_name,existing_canonical_place_id,existing_canonical_name_en,existing_match_score,existing_match_method,candidate_place_id,candidate_place_name_en,candidate_place_similarity,candidate_osm_stop_id,candidate_osm_stop_name,candidate_osm_latitude,candidate_osm_longitude,candidate_osm_similarity,proposal_status,safe_to_auto_verify,source_id
Dhanmondi 32 Kalabagan,dhanmondi 32 kalabagan,,,0.5882,unmatched,PLC0092,Dhanmondi-15,0.5882,5298917423,Dhanmondi 32 No. Bus Stopage,23.7517296,90.3778703,0.6829,manual_review,no,SRC_BUS_GITHUB
Dholairpar,dholairpar,,,0.6316,unmatched,PLC0134,Hota Para,0.6316,5185127957,Dholairpar Bus Stop,23.702791,90.4351668,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Dhour,dhour,,,0.8,unmatched,PLC0093,Dhaur,0.8000,2895200402,Dhour Bus Stopage,23.8933082,90.3666085,0.7143,manual_review,no,SRC_BUS_GITHUB
ECB Square,ecb square,,,0.6667,unmatched,PLC0320,Russell Square,0.6667,12169756229,C & B Savar,23.872558,90.273176,0.5714,manual_review,no,SRC_BUS_GITHUB
Fakirapul,fakirapul,,,0.8421,unmatched,PLC0109,Fakirapool,0.8421,12028981747,Kakrail Bus stop,23.7376473,90.4083108,0.6250,manual_review,no,SRC_BUS_GITHUB
Farmgate Bijoy Sarani,farmgate bijoy sarani,,,0.6857,unmatched,PLC0300,Progati Sarani,0.6857,11934785542,Bijoy Shoroni Bus stop,23.7649404,90.3891718,0.5882,manual_review,no,SRC_BUS_GITHUB
Gandaria,gandaria,,,0.6316,unmatched,PLC0045,Bashundhara,0.6316,3518348924,sanarpar bus stop,23.6949106,90.4902493,0.6250,manual_review,no,SRC_BUS_GITHUB
Garrison (Cantonment),garrison,,,0.625,unmatched,PLC0068,Cantonment Signal Gate,0.4878,12169756307,Savar Cantonment,23.917256,90.2603874,0.7429,manual_review,no,SRC_BUS_GITHUB
Gazipur Bypass,gazipur bypass,,,0.6667,unmatched,PLC0117,Gazipur,0.6667,12112161224,"Gazipura Bus stop, Bus stop",23.921525,90.3923968,0.7273,manual_review,no,SRC_BUS_GITHUB
Gazipur Chourasta,gazipur chourasta,,,0.7059,unmatched,PLC0051,Bezgaon Chourasta,0.7059,5209549334,Gazipur Chowrasta Bus Stand,23.9897895,90.3817038,0.9412,review_high_osm_similarity,no,SRC_BUS_GITHUB
Golapbag Chourasta,golapbag chourasta,,,0.7429,unmatched,PLC0100,Diabari Chourasta,0.7429,12057002356,Golapbagh Chowrasta Bus stop,23.7176698,90.4293125,0.9189,manual_review,no,SRC_BUS_GITHUB
Gulshan Link Road,gulshan link road,,,0.6923,unmatched,PLC0207,Link Road,0.6923,819615524,Khanpur Main Road,23.6252157,90.5052659,0.6471,manual_review,no,SRC_BUS_GITHUB
Hasnabad,hasnabad,,,0.5882,unmatched,PLC0072,Chasara Bus Stand,0.6667,12440860422,Hasnabad Bus Stop,23.6831264,90.4226066,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Hazaribag,hazaribag,,,0.6667,unmatched,PLC0305,Rajarbagh,0.6667,12025574279,Hazaribagh Bus stop,23.7323936,90.3628446,0.9474,review_high_osm_similarity,no,SRC_BUS_GITHUB
IDB,idb,,,0.5,unmatched,PLC0385,Zirab,0.5000,12281556056,IUBAT Bus stop,23.8876512,90.389599,0.5000,manual_review,no,SRC_BUS_GITHUB
Ittefaq Moor,ittefaq,,,0.7143,unmatched,PLC0128,Gulistan Morh,0.5600,12043426106,"Ittefaq Bus Stand, Bus stop",23.7214958,90.4212054,0.7368,manual_review,no,SRC_BUS_GITHUB
Ittefaq Moor Sayedabad,ittefaq sayedabad,,,0.6923,unmatched,PLC0327,Sayedabad,0.5806,13251912785,"Bot Tola Mor Diabari, Bus stop",23.7988834,90.3434516,0.5714,manual_review,no,SRC_BUS_GITHUB
Jahangir Gate,jahangir gate,,,0.6364,unmatched,PLC0012,Asad Gate,0.6364,12009429417,Jahangir Gate Bus stop,23.7752606,90.3897653,1.0000,review_exact_osm_name,no,SRC_BUS_GITHUB
Jakir Hossen Road,jakir hossen road,,,0.6471,unmatched,PLC0118,Gazipur Crossroad,0.6471,12104116680,Station Road Bus Stand,23.8929115,90.4019846,0.6207,manual_review,no,SRC_BUS_GITHUB
Jalkuri,jalkuri,,,0.6667,unmatched,PLC0202,Kuril,0.6667,12169756314,Taksur Bus Stop,23.9151784,90.241718,0.6154,manual_review,no,SRC_BUS_GITHUB
Jamgora,jamgora,,,0.5714,unmatched,PLC0027,Bagmara,0.5714,12169756298,Jamgara,23.936853,90.290481,0.8571,manual_review,no,SRC_BUS_GITHUB
Janapath Moor,janapath,,,0.625,unmatched,PLC0149,Jonopoth Mor,0.7200,11780032744,Jonopath Mor Bus Stop,23.712707,90.428611,0.8000,manual_review,no,SRC_BUS_GITHUB
Jarun,jarun,,,0.5455,unmatched,PLC0150,Jurain,0.5455,12169756206,Jorpul,23.801719,90.262507,0.5455,manual_review,no,SRC_BUS_GITHUB
Joydebpur,joydebpur,,,0.5882,unmatched,PLC0328,Sayedpur,0.5882,12169756138,Joypura Bus Stand,23.911518,90.18591,0.7500,manual_review,no,SRC_BUS_GITHUB
Kakali,kakali,,,0.8333,unmatched,PLC0154,Kakoli,0.8333,12078090908,Kakoli Bus station,23.7952338,90.4009018,0.8333,manual_review,no,SRC_BUS_GITHUB
