route_id,stop_sequence,place_id,stop_name_en,stop_name_bn,cumulative_distance_km,segment_distance_from_previous_km,source_id
BRTA_A_142_NO,5,PLC0292,Palton,পল্টন,3.5,0.7,SRC_BRTA_METRO_FARES
BRTA_A_142_NO,6,PLC0155,Kakrail,কাকরাইল,5.0,1.5,SRC_BRTA_METRO_FARES
BRTA_A_142_NO,7,PLC0212,Malibagh,মালিবাগ,5.9,0.9,SRC_BRTA_METRO_FARES
BRTA_A_142_NO,8,PLC0210,Magbazar,মগবাজার,7.2,1.3,SRC_BRTA_METRO_FARES
BRTA_A_142_NO,9,PLC0037,Bangla Motor,বাংলা মোটর,8.2,1.0,SRC_BRTA_METRO_FARES
BRTA_A_142_NO,10,PLC0112,Farmgate,ফার্মগেট,9.7,1.5,SRC_BRTA_METRO_FARES
BRTA_A_142_NO,11,PLC0250,Mohakhali,মহাখালী,12.6,2.9,SRC_BRTA_METRO_FARES
BRTA_A_142_NO,12,PLC0129,Gulshan-1,গুলশান-১,14.5,1.9,SRC_BRTA_METRO_FARES
BRTA_A_142_NO,13,PLC0130,Gulshan-2,গুলশান-২,16.1,1.6,SRC_BRTA_METRO_FARES
BRTA_A_142_NO,14,PLC0274,Natun Bazar,নতুন বাজার,16.7,0.6,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,1,PLC0387,Zoo,চিড়িয়াখানা,0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,2,PLC0239,Mirpur-1,মিরপুর-১,2.0,2.0,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,3,PLC0362,Technical,টেকনিক্যাল,4.0,2.0,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,4,PLC0346,Shyamoli,শ্যামলী,5.8,1.8,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,5,PLC0012,Asad Gate,আসাদগেট,7.3,1.5,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,6,PLC0156,Kalabagan,কলাবাগান,8.5,1.2,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,7,PLC0329,Science Lab,সায়েন্সল্যাব,10.3,1.8,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,8,PLC0331,Shahbag,শাহবাগ,11.5,1.2,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,9,PLC0298,Press Club,প্রেসক্লাব,12.6,1.1,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,10,PLC0125,Gulistan,গুলিস্তান,13.7,1.1,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,11,PLC0263,Motijheel (Shapla Chattar),মতিঝিল (শাপলা চত্বর),14.7,1.0,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,12,PLC0164,Kamalapur,কমলাপুর,15.7,1.0,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,13,PLC0364,Tikatapara,টিকটাপাড়া,16.7,1.0,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,14,PLC0327,Sayedabad,সায়েদাবাদ,18.7,2.0,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,15,PLC0143,Jatrabari,যাত্রাবাড়ী,19.7,1.0,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,16,PLC0332,Shanir Akhra,শনির আখড়া,20.7,1.0,SRC_BRTA_METRO_FARES
BRTA_A_154_NO,17,PLC0348,Signboard,সাইনবোর্ড,26.5,5.8,SRC_BRTA_METRO_FARES
BRTA_A_157_NO,1,PLC0063,Bonoshri,বনশ্রী,0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_157_NO,2,PLC0264,Mouchak,মৌচাক,5.8,5.8,SRC_BRTA_METRO_FARES
BRTA_A_157_NO,3,PLC0155,Kakrail,কাকরাইল,6.7,0.9,SRC_BRTA_METRO_FARES
BRTA_A_157_NO,4,PLC0331,Shahbag,শাহবাগ,8.8,2.1,SRC_BRTA_METRO_FARES
BRTA_A_157_NO,5,PLC0329,Science Lab,সাইন্সল্যাব,10.0,1.2,SRC_BRTA_METRO_FARES
BRTA_A_157_NO,6,PLC0144,Jigatola,জিগাতলা,11.1,1.1,SRC_BRTA_METRO_FARES
BRTA_A_157_NO,7,PLC0254,Mohammadpur (Asad Avenue),মোহাম্মদপুর (আসাদ এভিনিউ),14.0,2.9,SRC_BRTA_METRO_FARES
BRTA_A_160_NO,1,PLC0256,Mohammadpur (Japan Garden City),মোহাম্মদপুর (জাপান গার্ডেন সিটি),0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_160_NO,2,PLC0346,Shyamoli,শ্যামলী,2.8,2.8,SRC_BRTA_METRO_FARES
BRTA_A_160_NO,3,PLC0012,Asad Gate,আসাদগেট,4.4,1.6,SRC_BRTA_METRO_FARES
BRTA_A_160_NO,4,PLC0329,Science Lab,সাইন্সল্যাব,7.1,2.7,SRC_BRTA_METRO_FARES
BRTA_A_160_NO,5,PLC0331,Shahbag,শাহবাগ,8.6,1.5,SRC_BRTA_METRO_FARES
BRTA_A_160_NO,6,PLC0155,Kakrail,কাকরাইল,10.1,1.5,SRC_BRTA_METRO_FARES
BRTA_A_160_NO,7,PLC0109,Fakirapool,ফকিরাপুল,11.3,1.2,SRC_BRTA_METRO_FARES
BRTA_A_160_NO,8,PLC0038,Bangladesh Bank,বাংলাদেশ ব্যাংক,12.4,1.1,SRC_BRTA_METRO_FARES
BRTA_A_160_NO,9,PLC0081,Dayaganj Road,দয়াগঞ্জ রোড,13.9,1.5,SRC_BRTA_METRO_FARES
BRTA_A_160_NO,10,PLC0295,Postgola,পোস্তগোলা,16.2,2.3,SRC_BRTA_METRO_FARES
BRTA_A_161_NO,1,PLC0119,Ghatarchar,ঘাটারচর,0.0,0,SRC_BRTA_METRO_FARES
BRTA_A_161_NO,2,PLC0253,Mohammadpur,মোঃপুর,6.0,6.0,SRC_BRTA_METRO_FARES
