entity_type,entity_id,name_en,name_bn,search_text,latitude,longitude,provider,confidence,status
official_place,PLC0189,Khilgaon Flyover,খিলগাঁও ফ্লাইওভার,"Khilgaon Flyover, Dhaka, Bangladesh",,,,,pending
official_place,PLC0190,Khilgaon Khidma Hospital,খিলগাঁও খিদমা হাসপাতাল,"Khilgaon Khidma Hospital, Dhaka, Bangladesh",,,,,pending
official_place,PLC0191,Khilgaon Rail Gate,খিলগাঁও রেলগেট,"Khilgaon Rail Gate, Dhaka, Bangladesh",,,,,pending
official_place,PLC0192,Khilgaon Taltala,খিলগাঁও তালতলা,"Khilgaon Taltala, Dhaka, Bangladesh",,,,,pending
official_place,PLC0193,Khilkhet,খিলক্ষেত,"Khilkhet, Dhaka, Bangladesh",,,,,pending
official_place,PLC0194,Kochukhet,কচুক্ষেত,"Kochukhet, Dhaka, Bangladesh",,,,,pending
official_place,PLC0195,Kochukshet,কচুক্ষেত,"Kochukshet, Dhaka, Bangladesh",,,,,pending
official_place,PLC0196,Komorgonj,কোমরগঞ্জ,"Komorgonj, Dhaka, Bangladesh",,,,,pending
official_place,PLC0197,Konabari,কোনাবাড়ী,"Konabari, Dhaka, Bangladesh",,,,,pending
official_place,PLC0198,Konakhola,কোনাখোলা,"Konakhola, Dhaka, Bangladesh",,,,,pending
official_place,PLC0199,Konapara,কোনাপাড়া,"Konapara, Dhaka, Bangladesh",,,,,pending
official_place,PLC0200,Koshailya Bazar,কোশাইল্যা বাজার,"Koshailya Bazar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0201,Kumitola General Hospital,কুমিটোলা জেনারেল হাসপাতাল,"Kumitola General Hospital, Dhaka, Bangladesh",,,,,pending
official_place,PLC0202,Kuril,কুড়িল,"Kuril, Dhaka, Bangladesh",,,,,pending
official_place,PLC0203,Kuril Bishwa Road,কুড়িল বিশ্বরোড,"Kuril Bishwa Road, Dhaka, Bangladesh",,,,,pending
official_place,PLC0204,Kuril Biswa Road,কুড়িল বিশ্বরোড,"Kuril Biswa Road, Dhaka, Bangladesh",,,,,pending
official_place,PLC0205,Kuril Flyover,কুড়িল ফ্লাইওভার,"Kuril Flyover, Dhaka, Bangladesh",,,,,pending
official_place,PLC0206,Kurmitola General Hospital,কুর্মিটোলা জেনারেল হাসপাতাল,"Kurmitola General Hospital, Dhaka, Bangladesh",,,,,pending
official_place,PLC0207,Link Road,লিংক রোড,"Link Road, Dhaka, Bangladesh",,,,,pending
official_place,PLC0208,Madanganj,মদনগঞ্জ,"Madanganj, Dhaka, Bangladesh",,,,,pending
official_place,PLC0209,Madanpur,মদনপুর,"Madanpur, Dhaka, Bangladesh",,,,,pending
official_place,PLC0210,Magbazar,মগবাজার,"Magbazar, Dhaka, Bangladesh",,,,,pending
official_place,PLC0211,Majhir Kanda,মাঝির কান্দা,"Majhir Kanda, Dhaka, Bangladesh",,,,,pending
official_place,PLC0212,Malibagh,মালিবাগ,"Malibagh, Dhaka, Bangladesh",,,,,pending
official_place,PLC0213,Malibagh Choudhurypara,মালিবাগ চৌধুরীপাড়া,"Malibagh Choudhurypara, Dhaka, Bangladesh",,,,,pending
official_place,PLC0214,Manda Crossroad,মান্ডা চৌরাস্তা,"Manda Crossroad, Dhaka, Bangladesh",,,,,pending
